CODIGO;NOMBRE;COSTO BASE;COSTO IVA;CONTADO;PROTECCION SIN IVA;VALOR MINIMO;VALOR MAXIMO;TIPO
1007010;"T.V. L.G. 65"" OLED65E8PDA.AWC";6732000;8011080;0;0;0;0;1
1007009;"T.V. L.G. 65"" OLED65E8PDA.AWC";6732000;8011080;0;0;0;0;1
